country_code,city,funding_total_usd,funding_rounds,founded_year,seed,venture,equity_crowdfunding,undisclosed,convertible_note,debt_financing,angel,grant,private_equity,post_ipo_equity,post_ipo_debt,secondary_market,product_crowdfunding,round_A,round_B,round_C,round_D,round_E,round_F,round_G,round_H,company_count,Latitude,Longitude
USA,Webster,59765235,5,4024.0,0,58873985,60000,0,0,831250,0,0,0,0,0,0,0,0,0,0,46000000,0,0,0,0,3,29.5377315,-95.1182645
USA,Wellesley,155699760,44,34124.0,6810250,133509010,0,0,1500000,4715000,0,0,9165500,0,0,0,0,17300000,47513582,15000000,0,0,0,0,0,21,42.296797,-71.29238769999998
USA,Wellington,181830,1,2007.0,0,0,0,0,0,0,0,0,181830,0,0,0,0,0,0,0,0,0,0,0,0,1,40.5392032,-87.6800257
USA,Wellsville,12000000,1,0.0,0,0,0,0,0,0,0,0,0,12000000,0,0,0,0,0,0,0,0,0,0,0,1,42.1220124,-77.94805749999998
USA,Wenham,7875000,2,2010.0,7500000,375000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,42.604261,-70.89116120000001
USA,Wesley Chapel,5050000,2,4022.0,0,4250000,0,0,0,800000,0,0,0,0,0,0,0,4250000,0,0,0,0,0,0,0,2,28.1983135,-82.3304509
USA,West Babylon,275000,1,2009.0,0,0,0,0,0,0,275000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40.718154999999996,-73.354287
USA,West Bend,1709500,2,2007.0,0,1709500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,43.4252776,-88.1834277
USA,West Boothbay Harbor,9000000,1,0.0,0,0,0,0,0,0,0,9000000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,43.8523045,-69.62810139999999
USA,West Bridgewater,14534546,5,4018.0,0,11932501,0,0,0,2602045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,42.018989399999995,-71.00782149999998
USA,West Caldwell,20007587,2,2011.0,0,14050439,0,0,0,5957148,0,0,0,0,0,0,0,14050439,0,0,0,0,0,0,0,1,40.8409329,-74.30181540000002
USA,West Chester,2540840,8,6024.0,90000,1136400,0,0,0,614440,700000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,39.33212620000001,-84.41726659999998
USA,West Chicago,2750000,1,2013.0,0,0,0,0,2750000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,41.88475070000001,-88.20396070000002
USA,West Des Moines,73180115,5,2012.0,0,72992845,0,0,0,0,0,187270,0,0,0,0,0,0,0,0,0,0,0,0,0,4,41.5638902,-93.7593841
USA,West Hartford,26216664,11,10050.0,0,25907158,0,0,0,309506,0,0,0,0,0,0,0,2800000,1344400,0,0,0,0,0,0,5,41.762084200000004,-72.74201509999997
USA,West Haven,46000000,6,2005.0,0,32500000,0,0,0,6000000,0,0,0,7500000,0,0,0,0,0,0,0,0,0,0,0,1,41.2705484,-72.94697109999998
USA,West Henrietta,3418459,4,4013.0,0,2698459,0,0,0,720000,0,0,0,0,0,0,0,1340000,0,0,0,0,0,0,0,3,43.0384885,-77.6632587
USA,West Hills,5241000,3,2010.0,0,2741000,0,0,0,2500000,0,0,0,0,0,0,0,1500000,0,0,0,0,0,0,0,2,34.197312200000006,-118.64398090000002
USA,West Hollywood,175620984,45,48227.0,10669000,163551984,0,300000,0,0,1100000,0,0,0,0,0,0,53414280,42137704,15000000,0,0,0,0,0,27,34.0900091,-118.3617443
USA,West Hurley,57500,1,0.0,0,57500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,41.9973144,-74.10486399999998
